GeneID,Symbol,Description,FullGeneName
137805519,LOC137805519,uncharacterized LOC137805519,ERROR
137805520,LOC137805520,uncharacterized LOC137805520,ERROR
137805521,LOC137805521,putative ubiquitin-conjugating enzyme E2 38,putative ubiquitin-conjugating enzyme E2 38
137805522,LOC137805522,callose synthase 10-like,callose synthase 10-like
137805523,LOC137805523,uncharacterized LOC137805523,ERROR
137805524,LOC137805524,secreted RxLR effector protein 161-like,ERROR
137805525,LOC137805525,uncharacterized LOC137805525,ERROR
137805526,LOC137805526,uncharacterized LOC137805526,ERROR
137805527,LOC137805527,uncharacterized LOC137805527,ERROR
137805528,LOC137805528,uncharacterized LOC137805528,uncharacterized LOC137805528
137805529,LOC137805529,uncharacterized LOC137805529,uncharacterized LOC137805529
137805530,LOC137805530,uncharacterized LOC137805530,uncharacterized LOC137805530
137805531,LOC137805531,protein MAIN-LIKE 1-like,ERROR
137805532,LOC137805532,protein FAR1-RELATED SEQUENCE 6-like,ERROR
137805533,LOC137805533,uncharacterized LOC137805533,ERROR
137805534,LOC137805534,protein SMAX1-LIKE 6-like,protein SMAX1-LIKE 6-like
137805535,LOC137805535,uncharacterized LOC137805535,ERROR
137805536,LOC137805536,uncharacterized LOC137805536,ERROR
137805537,LOC137805537,uncharacterized LOC137805537,ERROR
137805538,LOC137805538,uncharacterized LOC137805538,uncharacterized LOC137805538
137805539,LOC137805539,self-incompatibility protein S1-like,self-incompatibility protein S1-like
137805540,LOC137805540,uncharacterized LOC137805540,uncharacterized LOC137805540
137805541,LOC137805541,uncharacterized LOC137805541,uncharacterized LOC137805541
137805542,LOC137805542,uncharacterized LOC137805542,uncharacterized LOC137805542
137805543,LOC137805543,uncharacterized LOC137805543,uncharacterized LOC137805543
137805544,LOC137805544,uncharacterized LOC137805544,uncharacterized LOC137805544
137805545,LOC137805545,uncharacterized LOC137805545,uncharacterized LOC137805545
137805546,LOC137805546,uncharacterized LOC137805546,uncharacterized LOC137805546
137805547,LOC137805547,uncharacterized LOC137805547,ERROR
137805548,LOC137805548,uncharacterized LOC137805548,ERROR
137805549,LOC137805549,uncharacterized LOC137805549,ERROR
137805550,LOC137805550,uncharacterized LOC137805550,ERROR
137805551,LOC137805551,uncharacterized LOC137805551,ERROR
137805552,LOC137805552,uncharacterized LOC137805552,ERROR
137805553,LOC137805553,uncharacterized LOC137805553,uncharacterized LOC137805553
137805554,LOC137805554,uncharacterized LOC137805554,uncharacterized LOC137805554
137805555,LOC137805555,uncharacterized LOC137805555,uncharacterized LOC137805555
137805556,LOC137805556,uncharacterized LOC137805556,uncharacterized LOC137805556
137805557,LOC137805557,uncharacterized LOC137805557,uncharacterized LOC137805557
137805558,LOC137805558,protein MAIN-LIKE 2-like,protein MAIN-LIKE 2-like
137805559,LOC137805559,protein MAIN-LIKE 1-like,protein MAIN-LIKE 1-like
137805560,LOC137805560,uncharacterized LOC137805560,uncharacterized LOC137805560
137805561,LOC137805561,uncharacterized LOC137805561,uncharacterized LOC137805561
137805562,LOC137805562,uncharacterized LOC137805562,ERROR
137805563,LOC137805563,uncharacterized LOC137805563,uncharacterized LOC137805563
137805564,LOC137805564,uncharacterized LOC137805564,ERROR
137805565,LOC137805565,RING-H2 finger protein ATL52-like,RING-H2 finger protein ATL52-like
137805566,LOC137805566,uncharacterized LOC137805566,uncharacterized LOC137805566
137805567,LOC137805567,uncharacterized LOC137805567,uncharacterized LOC137805567
137805568,LOC137805568,uncharacterized LOC137805568,uncharacterized LOC137805568
137805569,LOC137805569,zinc finger protein BRUTUS-like,zinc finger protein BRUTUS-like
137805570,LOC137805570,uncharacterized LOC137805570,ERROR
137805571,LOC137805571,ABC transporter B family member 13-like,ABC transporter B family member 13-like
137805572,LOC137805572,uncharacterized LOC137805572,uncharacterized LOC137805572
137805573,LOC137805573,uncharacterized LOC137805573,ERROR
137805574,LOC137805574,agamous-like MADS-box protein AGL61,agamous-like MADS-box protein AGL61
137805575,LOC137805575,uncharacterized LOC137805575,uncharacterized LOC137805575
137805576,LOC137805576,pentatricopeptide repeat-containing protein At2g37320-like,pentatricopeptide repeat-containing protein At2g37320-like
137805577,LOC137805577,uncharacterized LOC137805577,uncharacterized LOC137805577
137805578,LOC137805578,uncharacterized LOC137805578,uncharacterized LOC137805578
137805579,LOC137805579,uncharacterized mitochondrial protein AtMg00310-like,uncharacterized mitochondrial protein AtMg00310-like
137805580,LOC137805580,uncharacterized LOC137805580,ERROR
137805581,LOC137805581,uncharacterized LOC137805581,ERROR
137805582,LOC137805582,small ribosomal subunit protein eS12-like,ERROR
137805583,LOC137805583,uncharacterized LOC137805583,ERROR
137805584,LOC137805584,uncharacterized LOC137805584,ERROR
137805585,LOC137805585,uncharacterized LOC137805585,ERROR
137805586,LOC137805586,xyloglucan endotransglucosylase protein 7-like,xyloglucan endotransglucosylase protein 7-like
137805587,LOC137805587,uncharacterized LOC137805587,uncharacterized LOC137805587
137805588,LOC137805588,uncharacterized LOC137805588,uncharacterized LOC137805588
137805589,LOC137805589,uncharacterized LOC137805589,ERROR
137805590,LOC137805590,uncharacterized LOC137805590,ERROR
137805591,LOC137805591,uncharacterized LOC137805591,ERROR
137805592,LOC137805592,uncharacterized LOC137805592,ERROR
137805593,LOC137805593,uncharacterized LOC137805593,ERROR
137805594,LOC137805594,"3-isopropylmalate dehydratase large subunit, chloroplastic-like",ERROR
137805595,LOC137805595,uncharacterized LOC137805595,uncharacterized LOC137805595
137805596,LOC137805596,uncharacterized LOC137805596,uncharacterized LOC137805596
137805597,LOC137805597,uncharacterized LOC137805597,uncharacterized LOC137805597
137805598,LOC137805598,uncharacterized LOC137805598,uncharacterized LOC137805598
137805599,LOC137805599,uncharacterized LOC137805599,uncharacterized LOC137805599
137805600,LOC137805600,uncharacterized LOC137805600,uncharacterized LOC137805600
137805601,LOC137805601,uncharacterized LOC137805601,ERROR
137805602,LOC137805602,uncharacterized LOC137805602,ERROR
137805603,LOC137805603,uncharacterized LOC137805603,ERROR
137805604,LOC137805604,uncharacterized LOC137805604,ERROR
137805605,LOC137805605,F-box protein At5g49610-like,ERROR
137805606,LOC137805606,uncharacterized LOC137805606,ERROR
137805607,LOC137805607,uncharacterized LOC137805607,ERROR
137805608,LOC137805608,uncharacterized mitochondrial protein AtMg00810-like,ERROR
137805609,LOC137805609,uncharacterized LOC137805609,ERROR
137805610,LOC137805610,uncharacterized LOC137805610,ERROR
137805611,LOC137805611,protein argonaute PNH1-like,ERROR
137805612,LOC137805612,uncharacterized LOC137805612,ERROR
137805613,LOC137805613,uncharacterized LOC137805613,ERROR
137805614,LOC137805614,uncharacterized LOC137805614,ERROR
137805615,LOC137805615,uncharacterized LOC137805615,ERROR
137805616,LOC137805616,uncharacterized LOC137805616,ERROR
137805617,LOC137805617,uncharacterized LOC137805617,ERROR
137805618,LOC137805618,uncharacterized LOC137805618,ERROR
137805619,LOC137805619,uncharacterized LOC137805619,ERROR
137805620,LOC137805620,uncharacterized LOC137805620,ERROR
137805621,LOC137805621,uncharacterized LOC137805621,ERROR
137805622,LOC137805622,secreted RxLR effector protein 161-like,secreted RxLR effector protein 161-like
137805623,LOC137805623,uncharacterized LOC137805623,uncharacterized LOC137805623
137805624,LOC137805624,uncharacterized LOC137805624,uncharacterized LOC137805624
137805625,LOC137805625,protein FAR-RED IMPAIRED RESPONSE 1-like,protein FAR-RED IMPAIRED RESPONSE 1-like
137805626,LOC137805626,filament-like plant protein 1,filament-like plant protein 1
137805627,LOC137805627,protein FAR1-RELATED SEQUENCE 5-like,ERROR
137805628,LOC137805628,uncharacterized LOC137805628,ERROR
137805629,LOC137805629,uncharacterized LOC137805629,ERROR
137805630,LOC137805630,uncharacterized LOC137805630,uncharacterized LOC137805630
137805631,LOC137805631,uncharacterized LOC137805631,ERROR
137805632,LOC137805632,F-box protein At2g35280-like,ERROR
137805633,LOC137805633,basic leucine zipper 43-like,ERROR
137805634,LOC137805634,uncharacterized LOC137805634,ERROR
137805635,LOC137805635,WEB family protein At3g13190-like,ERROR
137805636,LOC137805636,protein BREAKING OF ASYMMETRY IN THE STOMATAL LINEAGE,ERROR
137805637,LOC137805637,uncharacterized LOC137805637,ERROR
137805638,LOC137805638,uncharacterized LOC137805638,uncharacterized LOC137805638
137805639,LOC137805639,uncharacterized LOC137805639,ERROR
137805640,LOC137805640,uncharacterized LOC137805640,uncharacterized LOC137805640
137805641,LOC137805641,uncharacterized LOC137805641,uncharacterized LOC137805641
137805642,LOC137805642,uncharacterized LOC137805642,uncharacterized LOC137805642
137805643,LOC137805643,protein RKD1-like,ERROR
137805644,LOC137805644,uncharacterized mitochondrial protein AtMg01250-like,ERROR
137805645,LOC137805645,uncharacterized mitochondrial protein AtMg00810-like,ERROR
137805646,LOC137805646,AT-hook motif nuclear-localized protein 17-like,ERROR
137805647,LOC137805647,uncharacterized LOC137805647,ERROR
137805648,LOC137805648,uncharacterized LOC137805648,ERROR
137805649,LOC137805649,uncharacterized LOC137805649,ERROR
137805650,LOC137805650,uncharacterized LOC137805650,ERROR
137805651,LOC137805651,transcription factor MYB98-like,ERROR
137805652,LOC137805652,uncharacterized LOC137805652,ERROR
137805653,LOC137805653,uncharacterized LOC137805653,ERROR
137805654,LOC137805654,U-box domain-containing protein 36-like,ERROR
137805655,LOC137805655,probable calcium-binding protein CML31,ERROR
137805656,LOC137805656,uncharacterized LOC137805656,ERROR
137805657,LOC137805657,subtilisin-like protease SBT5.3,ERROR
137805658,LOC137805658,uncharacterized LOC137805658,ERROR
137805659,LOC137805659,glucuronoxylan 4-O-methyltransferase 2,ERROR
137805660,LOC137805660,subtilisin-like protease SBT5.4,subtilisin-like protease SBT5.4
137805661,LOC137805661,uncharacterized mitochondrial protein AtMg00810-like,uncharacterized mitochondrial protein AtMg00810-like
137805662,LOC137805662,uncharacterized LOC137805662,ERROR
137805663,LOC137805663,"multiple organellar RNA editing factor 8, chloroplastic/mitochondrial-like","multiple organellar RNA editing factor 8, chloroplastic/mitochondrial-like"
137805664,LOC137805664,protein AGENET DOMAIN (AGD)-CONTAINING P1-like,protein AGENET DOMAIN (AGD)-CONTAINING P1-like
137805665,LOC137805665,36.4 kDa proline-rich protein-like,36.4 kDa proline-rich protein-like
137805666,LOC137805666,MICOS complex subunit MIC60-like,MICOS complex subunit MIC60-like
137805667,LOC137805667,uncharacterized LOC137805667,ERROR
137805668,LOC137805668,protein MAINTENANCE OF MERISTEMS-like,protein MAINTENANCE OF MERISTEMS-like
137805669,LOC137805669,expansin-like B1,ERROR
137805670,LOC137805670,FAS1 domain-containing protein SELMODRAFT_448915-like,FAS1 domain-containing protein SELMODRAFT_448915-like
137805671,LOC137805671,uncharacterized LOC137805671,uncharacterized LOC137805671
137805672,LOC137805672,putative invertase inhibitor,putative invertase inhibitor
137805673,LOC137805673,vacuolar protein sorting-associated protein 55 homolog,vacuolar protein sorting-associated protein 55 homolog
137805674,LOC137805674,exocyst complex component SEC10a-like,exocyst complex component SEC10a-like
137805675,LOC137805675,uncharacterized LOC137805675,uncharacterized LOC137805675
137805676,LOC137805676,uncharacterized LOC137805676,ERROR
137805677,LOC137805677,E3 ubiquitin-protein ligase MBR2-like,ERROR
137805678,LOC137805678,probable E3 ubiquitin-protein ligase ZFP1,ERROR
137805679,LOC137805679,uncharacterized LOC137805679,uncharacterized LOC137805679
137805680,LOC137805680,uncharacterized LOC137805680,uncharacterized LOC137805680
137805681,LOC137805681,protein FAR1-RELATED SEQUENCE 5-like,protein FAR1-RELATED SEQUENCE 5-like
137805682,LOC137805682,protein MAIN-LIKE 2-like,protein MAIN-LIKE 2-like
137805683,LOC137805683,uncharacterized LOC137805683,uncharacterized LOC137805683
137805684,LOC137805684,precursor of CEP3-like,precursor of CEP3-like
137805685,LOC137805685,uncharacterized LOC137805685,uncharacterized LOC137805685
137805686,LOC137805686,protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1-like,protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1-like
137805687,LOC137805687,uncharacterized LOC137805687,uncharacterized LOC137805687
137805688,LOC137805688,uncharacterized LOC137805688,uncharacterized LOC137805688
137805689,LOC137805689,uncharacterized LOC137805689,uncharacterized LOC137805689
137805690,LOC137805690,LOB domain-containing protein 24-like,LOB domain-containing protein 24-like
137805691,LOC137805691,zinc finger BED domain-containing protein DAYSLEEPER-like,ERROR
137805692,LOC137805692,uncharacterized LOC137805692,ERROR
137805693,LOC137805693,uncharacterized LOC137805693,ERROR
137805694,LOC137805694,probable polyol transporter 3,probable polyol transporter 3
137805695,LOC137805695,uncharacterized LOC137805695,uncharacterized LOC137805695
137805696,LOC137805696,uncharacterized LOC137805696,uncharacterized LOC137805696
137805697,LOC137805697,putative glycine-rich cell wall structural protein 1,ERROR
137805698,LOC137805698,cytochrome P450 84A1-like,ERROR
137805699,LOC137805699,fe(2+) transport protein 1-like,ERROR
137805700,LOC137805700,uncharacterized LOC137805700,uncharacterized LOC137805700
137805701,LOC137805701,uncharacterized LOC137805701,uncharacterized LOC137805701
137805702,LOC137805702,transcription factor SRM1-like,transcription factor SRM1-like
137805703,LOC137805703,uncharacterized protein At1g76070-like,ERROR
137805704,LOC137805704,uncharacterized LOC137805704,uncharacterized LOC137805704
137805705,LOC137805705,uncharacterized LOC137805705,uncharacterized LOC137805705
137805706,LOC137805706,serine acetyltransferase 4-like,serine acetyltransferase 4-like
137805707,LOC137805707,RING-H2 finger protein ATL8-like,RING-H2 finger protein ATL8-like
137805708,LOC137805708,egg cell-secreted protein 1.1-like,egg cell-secreted protein 1.1-like
137805709,LOC137805709,RING-H2 finger protein ATL39-like,RING-H2 finger protein ATL39-like
137805710,LOC137805710,probable aspartic protease At2g35615,probable aspartic protease At2g35615
137805711,LOC137805711,RING-H2 finger protein ATL29-like,RING-H2 finger protein ATL29-like
137805712,LOC137805712,lectin 7-like,lectin 7-like
137805713,LOC137805713,lectin 10-like,lectin 10-like
137805714,LOC137805714,lectin 7-like,lectin 7-like
137805715,LOC137805715,uncharacterized LOC137805715,ERROR
137805716,LOC137805716,probable mannitol dehydrogenase,probable mannitol dehydrogenase
137805717,LOC137805717,uncharacterized LOC137805717,uncharacterized LOC137805717
137805718,LOC137805718,endoglucanase 13-like,ERROR
137805719,LOC137805719,myosin-8-like,myosin-8-like
137805720,LOC137805720,uncharacterized LOC137805720,ERROR
137805721,LOC137805721,protein TRANSPARENT TESTA 16,protein TRANSPARENT TESTA 16
137805722,LOC137805722,WAT1-related protein At3g30340-like,WAT1-related protein At3g30340-like
137805723,LOC137805723,pentatricopeptide repeat-containing protein At5g66520-like,pentatricopeptide repeat-containing protein At5g66520-like
137805724,LOC137805724,uncharacterized LOC137805724,ERROR
137805725,LOC137805725,uncharacterized RING finger protein C548.05c-like,uncharacterized RING finger protein C548.05c-like
137805726,LOC137805726,trihelix transcription factor GT-2-like,trihelix transcription factor GT-2-like
137805727,LOC137805727,putative Myb family transcription factor At1g14600,ERROR
137805728,LOC137805728,uncharacterized LOC137805728,uncharacterized LOC137805728
137805729,LOC137805729,uncharacterized LOC137805729,uncharacterized LOC137805729
137805730,LOC137805730,putative clathrin assembly protein At1g25240,ERROR
137805731,LOC137805731,uncharacterized LOC137805731,uncharacterized LOC137805731
137805732,LOC137805732,GDSL esterase/lipase At2g30220-like,GDSL esterase/lipase At2g30220-like
137805733,LOC137805733,annexin D5-like,annexin D5-like
137805734,LOC137805734,olee1-like protein,olee1-like protein
137805735,LOC137805735,olee1-like protein,olee1-like protein
137805736,LOC137805736,probable pectinesterase 29,probable pectinesterase 29
137805737,LOC137805737,probable pectinesterase 29,ERROR
137805738,LOC137805738,homeobox protein knotted-1-like 7,ERROR
137805739,LOC137805739,uncharacterized LOC137805739,ERROR
137805740,LOC137805740,uncharacterized LOC137805740,ERROR
137805741,LOC137805741,uncharacterized LOC137805741,ERROR
137805742,LOC137805742,uncharacterized LOC137805742,ERROR
137805743,LOC137805743,uncharacterized LOC137805743,ERROR
137805744,LOC137805744,uncharacterized LOC137805744,ERROR
137805745,LOC137805745,uncharacterized LOC137805745,ERROR
137805746,LOC137805746,uncharacterized LOC137805746,ERROR
137805747,LOC137805747,uncharacterized LOC137805747,ERROR
137805748,LOC137805748,probable calcium-binding protein CML25,ERROR
137805749,LOC137805749,heavy metal-associated isoprenylated plant protein 22-like,ERROR
137805750,LOC137805750,clavaminate synthase-like protein At3g21360,ERROR
137805751,LOC137805751,pectinesterase PPME1-like,ERROR
137805752,LOC137805752,zinc finger protein WIP6,ERROR
137805753,LOC137805753,uncharacterized LOC137805753,ERROR
137805754,LOC137805754,uncharacterized LOC137805754,ERROR
137805755,LOC137805755,zinc finger protein JAGGED-like,ERROR
137805756,LOC137805756,protein C2-DOMAIN ABA-RELATED 9-like,ERROR
137805757,LOC137805757,protein C2-DOMAIN ABA-RELATED 9-like,ERROR
137805758,LOC137805758,uncharacterized LOC137805758,ERROR
137805759,LOC137805759,B3 domain-containing transcription factor VRN1-like,ERROR
137805760,LOC137805760,uncharacterized LOC137805760,ERROR
137805761,LOC137805761,LOB domain-containing protein 41-like,ERROR
137805762,LOC137805762,uncharacterized LOC137805762,ERROR
137805763,LOC137805763,transcription factor MYB92-like,ERROR
137805764,LOC137805764,protein gar2-like,ERROR
137805765,LOC137805765,uncharacterized LOC137805765,ERROR
137805766,LOC137805766,histone H2A.2-like,ERROR
137805767,LOC137805767,uncharacterized LOC137805767,ERROR
137805768,LOC137805768,uncharacterized LOC137805768,ERROR
137805769,LOC137805769,agamous-like MADS-box protein AP1,ERROR
137805770,LOC137805770,protein CRABS CLAW,ERROR
137805771,LOC137805771,cytochrome P450 85A-like,ERROR
137805772,LOC137805772,uncharacterized LOC137805772,ERROR
137805773,LOC137805773,beta-glucosidase 40,beta-glucosidase 40
137805774,LOC137805774,uncharacterized LOC137805774,ERROR
137805775,LOC137805775,probable methyltransferase At1g29790,probable methyltransferase At1g29790
137805776,LOC137805776,uncharacterized LOC137805776,uncharacterized LOC137805776
137805777,LOC137805777,uncharacterized LOC137805777,uncharacterized LOC137805777
137805778,LOC137805778,transcription factor MYB106-like,ERROR
137805779,LOC137805779,uncharacterized LOC137805779,uncharacterized LOC137805779
137805780,LOC137805780,uncharacterized LOC137805780,ERROR
137805781,LOC137805781,transcription factor MYB106-like,ERROR
137805782,LOC137805782,transcription factor MYB106-like,ERROR
137805783,LOC137805783,transcription factor MYB106-like,transcription factor MYB106-like
137805784,LOC137805784,scopoletin glucosyltransferase-like,ERROR
137805785,LOC137805785,transcription factor bHLH95-like,ERROR
137805786,LOC137805786,PI-PLC X domain-containing protein At5g67130-like,ERROR
137805787,LOC137805787,protein MAIN-LIKE 2-like,ERROR
137805788,LOC137805788,acidic endochitinase-like,ERROR
137805789,LOC137805789,hevamine-A-like,ERROR
137805790,LOC137805790,isoflavone 4'-O-methyltransferase-like,ERROR
137805791,LOC137805791,uncharacterized LOC137805791,ERROR
137805792,LOC137805792,uncharacterized LOC137805792,ERROR
137805793,LOC137805793,uncharacterized LOC137805793,ERROR
137805794,LOC137805794,uncharacterized LOC137805794,ERROR
137805795,LOC137805795,peroxidase 41-like,ERROR
137805796,LOC137805796,eukaryotic translation initiation factor 5A-4-like,ERROR
137805797,LOC137805797,small ribosomal subunit protein eS30z/eS30y/eS30x-like,ERROR
137805798,LOC137805798,protein MAIN-LIKE 1-like,ERROR
137805799,LOC137805799,protein MAIN-LIKE 2-like,ERROR
137805800,LOC137805800,uncharacterized LOC137805800,ERROR
137805801,LOC137805801,lysM domain receptor-like kinase 3,ERROR
137805802,LOC137805802,uncharacterized LOC137805802,ERROR
137805803,LOC137805803,ethylene-responsive transcription factor ESR2-like,ethylene-responsive transcription factor ESR2-like
137805804,LOC137805804,uncharacterized LOC137805804,ERROR
137805805,LOC137805805,small ribosomal subunit protein eS30z/eS30y/eS30x-like,ERROR
137805806,LOC137805806,uncharacterized LOC137805806,uncharacterized LOC137805806
137805807,LOC137805807,WRKY transcription factor 72A-like,WRKY transcription factor 72A-like
137805808,LOC137805808,AP2-like ethylene-responsive transcription factor At1g79700,AP2-like ethylene-responsive transcription factor At1g79700
137805809,LOC137805809,uncharacterized LOC137805809,ERROR
137805810,LOC137805810,protein NRT1/ PTR FAMILY 4.6-like,protein NRT1/ PTR FAMILY 4.6-like
137805811,LOC137805811,protein NRT1/ PTR FAMILY 2.13-like,protein NRT1/ PTR FAMILY 2.13-like
137805812,LOC137805812,uncharacterized LOC137805812,uncharacterized LOC137805812
137805813,LOC137805813,uncharacterized LOC137805813,uncharacterized LOC137805813
137805814,LOC137805814,WUSCHEL-related homeobox 9-like,WUSCHEL-related homeobox 9-like
137805815,LOC137805815,uncharacterized LOC137805815,ERROR
137805816,LOC137805816,uncharacterized LOC137805816,ERROR
137805817,LOC137805817,uncharacterized LOC137805817,uncharacterized LOC137805817
137805818,LOC137805818,uncharacterized LOC137805818,ERROR
137805819,LOC137805819,uncharacterized LOC137805819,ERROR
137805820,LOC137805820,uncharacterized LOC137805820,ERROR
137805821,LOC137805821,"glucan endo-1,3-beta-glucosidase 12-like",ERROR
137805822,LOC137805822,uncharacterized LOC137805822,ERROR
137805823,LOC137805823,uncharacterized LOC137805823,ERROR
137805824,LOC137805824,uncharacterized LOC137805824,ERROR
137805825,LOC137805825,uncharacterized LOC137805825,ERROR
137805826,LOC137805826,uncharacterized LOC137805826,ERROR
137805827,LOC137805827,uncharacterized LOC137805827,ERROR
137805828,LOC137805828,U-box domain-containing protein 35-like,ERROR
137805829,LOC137805829,secreted RxLR effector protein 161-like,ERROR
137805830,LOC137805830,uncharacterized LOC137805830,ERROR
137805831,LOC137805831,pentatricopeptide repeat-containing protein At4g11690-like,ERROR
137805832,LOC137805832,small ribosomal subunit protein eS21,ERROR
137805833,LOC137805833,uncharacterized LOC137805833,ERROR
137805834,LOC137805834,probable inositol transporter 2,ERROR
137805835,LOC137805835,ethylene-responsive transcription factor ERF086-like,ERROR
137805836,LOC137805836,uncharacterized LOC137805836,ERROR
137805837,LOC137805837,basic helix-loop-helix protein A-like,ERROR
137805838,LOC137805838,tryptophan aminotransferase-related protein 4-like,ERROR
137805839,LOC137805839,probable galacturonosyltransferase-like 4,ERROR
137805840,LOC137805840,uncharacterized LOC137805840,ERROR
137805841,LOC137805841,protein DETOXIFICATION 55-like,ERROR
137805842,LOC137805842,"acyl carrier protein 1, chloroplastic-like",ERROR
137805843,LOC137805843,agamous-like MADS-box protein AGL62,ERROR
137805844,LOC137805844,exopolygalacturonase-like,ERROR
137805845,LOC137805845,uncharacterized LOC137805845,ERROR
137805846,LOC137805846,peroxidase 5-like,ERROR
137805847,LOC137805847,peroxidase 5-like,ERROR
137805848,LOC137805848,uncharacterized LOC137805848,ERROR
137805849,LOC137805849,uncharacterized LOC137805849,ERROR
137805850,LOC137805850,uncharacterized LOC137805850,ERROR
137805851,LOC137805851,"3-oxo-Delta(4,5)-steroid 5-beta-reductase-like",ERROR
137805852,LOC137805852,uncharacterized LOC137805852,ERROR
137805853,LOC137805853,"4,5-DOPA dioxygenase extradiol-like",ERROR
137805854,LOC137805854,small ribosomal subunit protein eS30z/eS30y/eS30x-like,ERROR
137805855,LOC137805855,probable N-acetyltransferase HLS1-like,ERROR
137805856,LOC137805856,dirigent protein 11-like,ERROR
137805857,LOC137805857,GDSL esterase/lipase At4g16230-like,ERROR
137805858,LOC137805858,protein EXORDIUM-like 6,ERROR
137805859,LOC137805859,putative ubiquitin-conjugating enzyme E2 39,ERROR
137805860,LOC137805860,uncharacterized LOC137805860,ERROR
137805861,LOC137805861,uncharacterized LOC137805861,ERROR
137805862,LOC137805862,cell wall / vacuolar inhibitor of fructosidase 1-like,ERROR
137805863,LOC137805863,uncharacterized LOC137805863,ERROR
137805864,LOC137805864,uncharacterized LOC137805864,ERROR
137805865,LOC137805865,glutathione S-transferase U25-like,ERROR
137805866,LOC137805866,uncharacterized LOC137805866,ERROR
137805867,LOC137805867,uncharacterized LOC137805867,ERROR
137805868,LOC137805868,uncharacterized LOC137805868,ERROR
137805869,LOC137805869,putative pectinesterase 63,ERROR
137805870,LOC137805870,uncharacterized LOC137805870,ERROR
137805871,LOC137805871,pectinesterase inhibitor 3-like,ERROR
137805872,LOC137805872,pollen receptor-like kinase 3,ERROR
137805873,LOC137805873,protein LURP-one-related 6-like,ERROR
137805874,LOC137805874,"GCN5-related N-acetyltransferase 6, chloroplastic-like",ERROR
137805875,LOC137805875,transcription factor MYB1-like,ERROR
137805876,LOC137805876,vacuolar protein sorting-associated protein 2 homolog 1-like,ERROR
